rank,symbol,prev_close,open,change_pct,preopen_value_lakh
1,BALAMINES,1352.9,1496.0,10.58,281.49
2,ADFFOODS,272.1,300.0,10.25,63.85
3,METROPOLIS,548.0,600.0,9.49,202.47
4,JARO,484.9,525.0,8.27,385.95
5,BAJEL,170.03,184.0,8.22,54.16
6,NLCINDIA,325.7,348.0,6.85,1456.75
7,MTARTECH,6763.5,7202.0,6.48,1210.37
8,SREEL,178.74,189.99,6.29,15.2
9,EXPLEOSOL,883.4,935.0,5.84,36.06
10,CARERATING,1608.2,1700.1,5.71,70.47
11,SMARTLINK,178.18,187.0,4.95,30.56
12,SAGCEM,177.96,185.95,4.49,14.92
13,ZFCVINDIA,14424.0,15009.0,4.06,128.03
14,TVSHLTD,13862.0,14400.0,3.88,13.82
15,IKS,1675.0,1739.9,3.87,152.92
