Rank,Symbol,Series,PrevClose,IEP_Open,Change,ChangePct,FinalQty,Turnover_Cr
1,CONNPLEX,SM,271.85,237.0,-34.85,-12.82,15200,0.0
2,TEXRAIL,EQ,105.71,115.0,9.29,8.79,260752,0.0
3,FMNL,EQ,9.67,10.49,0.82,8.48,103,0.0
4,KEEPLEARN,EQ,1.94,2.1,0.16,8.25,51,0.0
5,HEMIPROP,EQ,149.09,160.53,11.44,7.67,136965,0.0
6,NEULANDLAB,EQ,17003.0,18305.0,1302.0,7.66,11961,0.0
7,COHANCE,EQ,484.65,448.3,-36.35,-7.5,66645,0.0
8,SBGLP,EQ,26.41,24.5,-1.91,-7.23,1200,0.0
9,LAMBODHARA,EQ,105.42,98.0,-7.42,-7.04,9713,0.0
10,ASTAR,EQ,663.65,710.0,46.35,6.98,1,0.0
11,UEL,EQ,144.07,154.0,9.93,6.89,2,0.0
12,DAMODARIND,EQ,29.94,32.0,2.06,6.88,101,0.0
13,TATAPOWER,EQ,418.4,391.0,-27.4,-6.55,262549,0.0
14,ALBERTDAVD,EQ,781.1,730.0,-51.1,-6.54,1791,0.0
15,TEXINFRA,EQ,99.66,105.85,6.19,6.21,11210,0.0
16,IIFL,EQ,445.7,473.0,27.3,6.13,116654,0.0
17,TECILCHEM,EQ,11.98,12.7,0.72,6.01,9,0.0
18,KROSS,EQ,203.08,215.0,11.92,5.87,30933,0.0
19,MENNPIS,EQ,57.62,60.87,3.25,5.64,35,0.0
20,GTLINFRA,EQ,1.28,1.35,0.07,5.47,2741331,0.0
21,MERCANTILE,EQ,27.53,28.99,1.46,5.3,4,0.0
22,FOSECOIND,EQ,4803.8,5050.0,246.2,5.13,142,0.0
23,GUJRAFFIA,EQ,38.04,36.1,-1.94,-5.1,1166,0.0
24,MMWL,EQ,13.54,12.86,-0.68,-5.02,6457,0.0
25,SEMAC,EQ,373.0,391.65,18.65,5.0,1105,0.0
26,ABMINTLLTD,BE,39.6,41.58,1.98,5.0,11,0.0
27,HOACFOODS,SM,489.4,464.95,-24.45,-5.0,375,0.0
28,SILVERTUC,EQ,147.68,140.3,-7.38,-5.0,16919,0.0
29,OMAXAUTO,BE,218.32,207.41,-10.91,-5.0,5875,0.0
30,VASCONEQ,BE,37.61,35.73,-1.88,-5.0,19266,0.0
31,GTL,BE,7.6,7.22,-0.38,-5.0,2500,0.0
32,E2E,BE,3425.1,3253.9,-171.2,-5.0,857,0.0
33,AHLWEST,BE,508.75,534.15,25.4,4.99,121,0.0
34,POSITRON,ST,220.3,209.3,-11.0,-4.99,1200,0.0
